Date,Energy_kWh,Source_File,Data_Type
2024-10-20,20.84684,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-21,20.19651,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-22,27.883580000000002,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-23,9.84373,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-24,3.47175,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-25,15.65017,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-26,23.08935,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-27,22.85869,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-10-28,19.55514,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-29,18.46273,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-30,21.51375,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-10-31,13.97057,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-11-01,19.54705,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-02,25.08154,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-03,15.45716,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-11-04,14.70684,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-05,11.50769,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-11-06,11.392719999999999,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-07,7.44962,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-11-08,7.715520000000001,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-09,11.14184,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-10,7.35085,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-11,7.33362,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-12,7.65847,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-13,8.54587,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-14,19.35593,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-15,17.27520,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-11-16,17.7818,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-17,19.81861,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-18,14.74994,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-19,9.66953,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-20,8.37807,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-21,10.88232,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-11-22,1.00577,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-23,13.51938,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-11-24,11.73437,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-25,16.817610000000002,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-11-26,6.81652,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
